year,Afghanistan,Albania ,Algeria ,Angola,Argentina ,Armenia ,Australia ,Austria ,Azerbaijan ,Bahrain ,Bangladesh,Belarus ,Belgium ,Benin ,Bolivia ,Bosnia ,Botswana,Brazil ,Bulgaria ,Burkina Faso,Burma ,Burundi,Cambodia ,Cameroon ,Canada,Cape Verde ,Centr. Afr. Rep.,Chad ,Chile ,China ,Colombia ,Comoro Islands,Congo 'Brazzaville',Costa Rica,Côte d'Ivoire,Croatia ,Cuba,Czech Rep.,Czecho-slovakia,Denmark ,Djibouti,Dominican Rep.,Ecuador ,Egypt ,El Salvador,Equatorial Guinea ,Eritrea & Ethiopia ,Estonia ,F. Czecho-slovakia,F. USSR ,Finland ,France,Gabon,Gambia ,Georgia ,Germany ,Ghana,Greece ,Guatemala,Guinea ,Guinea Bissau ,Haïti,Honduras,Hong Kong,Hungary ,India ,Indonesia (& Timor until '99),Iran,Iraq ,Ireland ,Israel ,Italy ,Jamaica ,Japan ,Jordan ,Kazakhstan,Kenya,Kuwait ,Kyrgyzstan ,Laos,Latvia ,Lebanon ,Lesotho,Liberia,Libya ,Lithuania ,Macedonia ,Madagascar,Malawi,Malaysia ,Mali,Mauritania ,Mauritius ,Mexico ,Moldova ,Mongolia ,Morocco ,Mozambique,N. Zealand ,Namibia ,Nepal ,Netherlands ,Nicaragua,Niger,Nigeria,North Korea ,Norway ,Oman,Pakistan,Panama,Paraguay,Peru ,Philippines,Poland ,Portugal ,Puerto Rico ,Qatar,Romania ,Russia,Rwanda,S. Korea ,S. Tomé & P.,Saudi Arabia ,Senegal ,Serbia/Montenegro/Kosovo,Seychelles,Sierra Leone,Singapore ,Slovakia ,Slovenia ,Somalia ,South Africa ,Spain ,Sri Lanka,Sudan ,Swaziland,Sweden ,Switzerland ,Syria ,T. & Tobago ,Taiwan,Tajikistan ,Tanzania ,Thailand ,Togo,Tunisia ,Turkey ,Turk-menistan ,UAE,Uganda ,UK,Ukraine ,Uruguay,USA,Uzbekistan ,Venezuela,Vietnam,W. Bank & Gaza ,Yemen ,Yugoslavia 
1870,,446.1028192,715.0423729,,1310.626163,,3273.239437,1862.590487,,,,,2691.522763,,,,,712.9733592,839.9071926,,503.8869258,,,,1694.525258,,,,1290.251216,530,,,,,,,,,1163.958641,2003.177966,,,,648.7445028,,,,,,943.3191988,1139.68073,1875.65065,,,,1839.079503,438.8853705,879.9562483,,,,,,682.9268293,1091.600473,533.1303995,578.1109035,718.9542484,718.9873418,1775.050747,,1499.354561,535.0701403,737.3754973,718.0451128,,,,,,,844.5378151,,,,,,,,662.5,,,,674.0427378,,,563.029661,,3099.656357,,396.9774372,2756.786704,,,,604.0789182,1360.143532,,,,,,623.9383765,945.9828046,975.0404437,,,931.0382395,,,604.0192761,,,,,,,682.1428571,,,,857.8720063,1207.085982,851.3998564,,,1359.029779,2102.071563,843.8685209,,550.1066098,,,607.965368,,632.6530612,824.9809209,,,,3190.434013,,2180.758017,2444.643665,,569.2679976,505.4141337,750.5827506,,599.0063015
1871,,,,,,,3298.507463,1979.095791,,,,,2682.464863,,,,,716.8336673,,,,,,,1754.526703,,,,1273.589477,,,,,,,,,,,1993.03731,,,,,,,,,,,1126.839306,1899.40749,,,,1816.561841,,,,,,,,,,,575.2144352,,,,,1506.335653,,742.0053106,,,,,,,,,,,,,,,,,,,,,,,,,3154.990196,,,2734.323432,,,,,1376.088342,,,,,,,,932.9198254,,,,,,,,,,,,,,,,,,1298.068643,826.9503546,,,1406.115624,2225.373134,,,,,,,,,,,,,3331.87502,,2177.966102,2502.846854,,,,,,
1872,,,,,,,3553.426249,1976.322328,,,,,2823.646968,,,,,720.6648962,,,,,,,1705.2,,,,1348.628999,,,,,,,,,,,2086.970803,,,,,,,,,,,1145.032435,2078.426657,,,,1931.375778,,,,,,,,,,,573.6455287,,,,,1475.132185,,746.0053358,,,,,,,,,,,,,,,,,,,,,,,,,3522.796875,,,2770.617149,,,,,1457.364763,,,,,,,,954.327472,,,,,,,,,,,,,,,,,,1473.122893,784.6586911,,,1444.996451,2107.526882,,,,,,,,,,,,,3319.165401,,2631.868132,2540.938865,,,,,,
1873,,,,,,,3823.629169,1913.028196,,,,,2820.05844,,,,,724.4641823,,,,,,,1841.878773,,,,1416.645365,,,,,,,,,,,2056.573643,,,,,,,,,,,1193.397401,1922.096128,,,,1998.672664,,,,,,,,,,,582.8512919,,,,,1524.435601,,751.0122612,,,,,,,,,,,,,,,,,,,,,,,,,3830.991045,,,2853.405995,,,,,1481.611064,,,,,,,,988.1952327,,,,,,,,,,,,,,,,,,1597.605668,788.3339155,,,1451.099672,2152.486188,,,,,,,,,,,,,3364.697641,,2601.06383,2604.252559,,,,,,
1874,,,,,,,3834.796926,1980.929181,,,,,2889.771906,,,,,728.3927218,,,,,,,1853.715852,,,,1337.158305,,,,,,,,,,,2096.299898,,,,,,,,,,,1204.120128,2157.232468,,,,2123.960049,,,,,,,,,,,591.7961741,,,,,1513.082659,,756.1799347,,,,,,,,,,,,,,,,,,,,,,,,,3843.498638,,,2727.102804,,,,,1523.748155,,,,,,,,966.3732792,,,,,,,,,,,,,,,,,,1458.883681,774.6967071,,,1478.935185,2396.633736,,,,,,,,,,,,,3386.444109,,2315.245478,2527.255044,,,,,,
1875,,,,,,,4138.207044,1973.255391,,,,,2860.785027,,,,,732.3471951,,,,,,,1783.966593,,,,1426.130208,,,,,,,,,,,2111.601622,,,,,,,,,,,1211.184834,2219.069177,,,,2112.351713,,,,,,,,,,,595.1646709,,,,,1549.593397,,809.8543854,,,,,,,,,,,,,,,,,,,,,,,,,3687.87931,,,2879.619852,,,,,1551.219948,,,,,,,,959.3988336,,,,,,,,,,,,,,,,,,1496.330442,780.605227,,,1453.00321,2645.454545,,,,,,,,,,,,,3433.668382,,1942.35589,2598.585479,,,,,,
1876,,,,,,,4007.257646,2000.116723,,,,,2874.616464,,,,,736.1884759,,,,,,,1640.916667,,,,1389.891391,,,,,,,,,,,2130.330993,,,,,,,,,,,1259.242739,2028.219465,,,,2070.670362,,,,,,,,,,,604.9426113,,,,,1506.071779,,784.5602442,,,,,,,,,,,,,,,,,,,,,,,,,3623.115207,,,2889.874739,,,,,1572.449843,,,,,,,,931.5343443,,,,,,,,,,,,,,,,,,1519.250529,788.7372014,,,1539.037676,2568.280347,,,,,,,,,,,,,3430.160422,,2104.622871,2570.354527,,,,,,
1877,,,,,,,4036.090226,2050.440498,,,,,2884.484056,,,,,740.1398351,,,,,,,1727.440727,,,,1325.255339,,,,,,,,,,,2046.15156,,,,,,,,,,,1211.200307,2127.482165,,,,2032.628824,,,,,,,,,,,606.6653357,,,,,1493.422318,,802.6542284,,,,,,,,,,,,,,,,,,,,,,,,,3982.466667,,,2926.603142,,,,,1564.748698,,,,,,,,969.1864332,,,,,,,,,,,,,,,,,,1668.433416,793.0216802,,,1505.048239,2302.943288,,,,,,,,,,,,,3425.197046,,2122.641509,2595.393555,,,,,,
1878,,,,,,,4277.400582,2100.305744,,,,,2942.257442,,,,,744.1267048,,,,,,,1637.201697,,,,1384.799386,,,,,,,,,,,2102.085169,,,,,,,,,,,1172.766515,2091.126306,,,,2102.998261,,,,,,,,,,,592.8178551,,,,,1505.899535,,793.7491395,,,,,,,,,,,,,,,,,,,,,,,,,4270.760171,,,2991.131977,,,,,1489.818025,,,,,,,,964.081093,,,,,,,,,,,,,,,,,,1617.916892,717.6470588,,,1452.085182,2331.43061,,,,,,,,,,,,,3402.500648,,2247.139588,2645.961705,,,,,,
1879,,,,,,,4204.983545,2067.938763,,,,,2944.919883,,,,,748.1430299,,,,,,,1765.233766,,,,1571.70563,,,,,,,,,,,2148.546512,,,,,,,,,,,1167.404171,1953.306793,,,,2028.6671,,,,,,,,,,,598.2789872,,,,,1514.394934,,835.4077195,,,,,,,,,,,,,,,,,,,,,,,,,3569.240891,,,2778.223783,,,,,1483.247063,,,,,,,,959.0899147,,,,,,,,,,,,,,,,,,1520.276718,769.5130087,,,1522.063666,2310.173697,,,,,,,,,,,,,3352.507463,,1948.888889,2909.433198,,,,,,
