year,Afghanistan,Albania ,Algeria ,Angola,Argentina ,Armenia ,Australia ,Austria ,Azerbaijan ,Bahrain ,Bangladesh,Belarus ,Belgium ,Benin ,Bolivia ,Bosnia ,Botswana,Brazil ,Bulgaria ,Burkina Faso,Burma ,Burundi,Cambodia ,Cameroon ,Canada,Cape Verde ,Centr. Afr. Rep.,Chad ,Chile ,China ,Colombia ,Comoro Islands,Congo 'Brazzaville',Costa Rica,Côte d'Ivoire,Croatia ,Cuba,Czech Rep.,Czecho-slovakia,Denmark ,Djibouti,Dominican Rep.,Ecuador ,Egypt ,El Salvador,Equatorial Guinea ,Eritrea & Ethiopia ,Estonia ,F. Czecho-slovakia,F. USSR ,Finland ,France,Gabon,Gambia ,Georgia ,Germany ,Ghana,Greece ,Guatemala,Guinea ,Guinea Bissau ,Haïti,Honduras,Hong Kong,Hungary ,India ,Indonesia (& Timor until '99),Iran,Iraq ,Ireland ,Israel ,Italy ,Jamaica ,Japan ,Jordan ,Kazakhstan,Kenya,Kuwait ,Kyrgyzstan ,Laos,Latvia ,Lebanon ,Lesotho,Liberia,Libya ,Lithuania ,Macedonia ,Madagascar,Malawi,Malaysia ,Mali,Mauritania ,Mauritius ,Mexico ,Moldova ,Mongolia ,Morocco ,Mozambique,N. Zealand ,Namibia ,Nepal ,Netherlands ,Nicaragua,Niger,Nigeria,North Korea ,Norway ,Oman,Pakistan,Panama,Paraguay,Peru ,Philippines,Poland ,Portugal ,Puerto Rico ,Qatar,Romania ,Russia,Rwanda,S. Korea ,S. Tomé & P.,Saudi Arabia ,Senegal ,Serbia/Montenegro/Kosovo,Seychelles,Sierra Leone,Singapore ,Slovakia ,Slovenia ,Somalia ,South Africa ,Spain ,Sri Lanka,Sudan ,Swaziland,Sweden ,Switzerland ,Syria ,T. & Tobago ,Taiwan,Tajikistan ,Tanzania ,Thailand ,Togo,Tunisia ,Turkey ,Turk-menistan ,UAE,Uganda ,UK,Ukraine ,Uruguay,USA,Uzbekistan ,Venezuela,Vietnam,W. Bank & Gaza ,Yemen ,Yugoslavia 
1870,4207,603,3776,,1796,,1775,4520,,,,,5096,,1495,,,9797,2586,,4245,,2340,,3781,,,,1944.569,358000,2392,,,137,,,1331,,10155,1888,,242,1013,7049,492,,,,,88672,1754,38440,,,,39231,1579,3657,1080,,,1150,404,123,5917,253000.0168,32742.85243,8415,1580,5419,,27888,499,34437,266,,,,,755,,476,,,,,,,,800,,,,9219,,668,3776,,291,,4698,3610,337,,,4511,1735,367,,176,384,2606,5063,16865,4327,645,,9179,,,9753,,2338,,,,,84,,,,2547,16201,2786,,,4164,2655,1582,124,2345,,,5775,,1176,11793,,,,31400,,343,40240.6295,,1653,10528,429,2840,8252
1871,,,,,,,1675,4562,,,,,5137,,,,,9980,,,,,,,3801,,,,1974.998,358988,,,,,,,,,,1903,,,,,,,,,,,1786,37731,,,,39456,,3694,,,,,,,,253417,33067.66805,,,5398,,28063,,34648,,,,,,,,,,,,,,,,,,,,9331,,,,,306,,,3636,,,,,1745,,,,,,,,4353,,,,,,,,,,,,,,,,,,16258,2820,,,4186,2680,,,,,,,,,,,,,31685,,354,41098,,1675,,,,
1872,,,,,,,1722,4604,,,,,5178,,,,,10167,,,,,,,3870,,,,2005.79,359978,,,,,,,,,,1918,,,,,,,,,,,1819,37679,,,,39691,,3732,,,,,,,,253834,33396.93076,,,5373,,28233,,34859,,,,,,,,,,,,,,,,,,,,9444,,,,,320,,,3662,,,,,1755,,,,,,,,4379,,,,,,,,,,,,,,,,,,16315,2842,,,4227,2697,,,,,,,,,,,,,31874,,364,42136,,1699,,,,
1873,,,,,,,1769,4646,,,,,5219,,,,,10358,,,,,,,3943,,,,2036.939,360971,,,,,,,,,,1935,,,,,,,,,,,1847,37887,,,,40017,,3770,,,,,,,,254253,33730.73076,,,5328,,28387,,35070,,,,,,,,,,,,,,,,,,,,9558,,,,,335,,,3670,,,,,1767,,,,,,,,4405,,,,,,,,,,,,,,,,,,16372,2863,,,4274,2715,,,,,,,,,,,,,32177,,376,43174,,1725,,,,
1874,,,,,,,1822,4688,,,,,5261,,,,,10552,,,,,,,4012,,,,2068.435,361967,,,,,,,,,,1954,,,,,,,,,,,1873,38044,,,,40450,,3809,,,,,,,,254672,34069.16246,,,5299,,28505,,35235,,,,,,,,,,,,,,,,,,,,9674,,,,,367,,,3745,,,,,1783,,,,,,,,4431,,,,,,,,,,,,,,,,,,16429,2885,,,4320,2733,,,,,,,,,,,,,32501,,387,44212,,1753,,,,
1875,,,,,,,1874,4730,,,,,5303,,,,,10749,,,,,,,4071,,,,2100.268,362966,,,,,,,,,,1973,,,,,,,,,,,1899,38221,,,,40897,,3848,,,,,,,,255091,34412.32486,,,5279,,28630,,35436,,,,,,,,,,,,,,,,,,,,9791,,,,,406,,,3788,,,,,1803,,,,,,,,4458,,,,,,,,,,,,,,,,,,16487,2908,,,4362,2750,,,,,,,,,,,,,32839,,399,45245,,1784,,,,
1876,,,,,,,1929,4772,,,,,5345,,,,,10951,,,,,,,4128,,,,2132.427,363967,,,,,,,,,,1994,,,,,,,,,,,1928,38398,,,,41491,,3887,,,,,,,,255512,34760.32207,,,5278,,28837,,35713,,,,,,,,,,,,,,,,,,,,9910,,,,,434,,,3832,,,,,1829,,,,,,,,4484,,,,,,,,,,,,,,,,,,16545,2930,,,4406,2768,,,,,,,,,,,,,33200,,411,46287,,1816,,,,
1877,,,,,,,1995,4815,,,,,5394,,,,,11156,,,,,,,4184,,,,2164.899,364971,,,,,,,,,,2019,,,,,,,,,,,1957,38576,,,,42034,,3927,,,,,,,,255933,35113.26385,,,5286,,29067,,36018,,,,,,,,,,,,,,,,,,,,10030,,,,,450,,,3883,,,,,1852,,,,,,,,4511,,,,,,,,,,,,,,,,,,16603,2952,,,4457,2786,,,,,,,,,,,,,33576,,424,47325,,1849,,,,
1878,,,,,,,2062,4857,,,,,5442,,,,,11365,,,,,,,4244,,,,2197.67,365978,,,,,,,,,,2043,,,,,,,,,,,1983,38763,,,,42546,,3967,,,,,,,,256354,35471.26629,,,5282,,29252,,36315,,,,,,,,,,,,,,,,,,,,10151,,,,,467,,,3834,,,,,1877,,,,,,,,4538,,,,,,,,,,,,,,,,,,16677,2975,,,4508,2803,,,,,,,,,,,,,33932,,437,48362,,1883,,,,
1879,,,,,,,2127,4899,,,,,5492,,,,,11578,,,,,,,4312,,,,2230.723,366988,,,,,,,,,,2064,,,,,,,,,,,2014,38909,,,,43052,,4008,,,,,,,,256777,35834.45259,,,5266,,29425,,36557,,,,,,,,,,,,,,,,,,,,10274,,,,,494,,,3986,,,,,1902,,,,,,,,4571,,,,,,,,,,,,,,,,,,16768,2998,,,4555,2821,,,,,,,,,,,,,34304,,450,49400,,1917,,,,
1880,,,,,,,2197,4941,,,,,5541,,,,,11794,,,,,,,4384,,,,2264.042,368000,,,,,,,,,,2081,,,,,,,,,,,2047,39045,,,,43500,,4049,,,,,,,,257200,36202.95398,,,5203,,29534,,36807,,,,,,,,,,,,,,,,,,,,10399,,,,,520,,,4043,,,,,1919,,,,,,,,4610,,,,,,,,,,,,,,,,,,16859,3021,,,4572,2839,,,,,,,,,,,,,34623,,464,50458,,1952,,,,
