country,country isocode,year,POP,XRAT,cg,openc,rgdpch,openk
Afghanistan,AFG,1950,8150.368,.,.,.,.,.
Afghanistan,AFG,1951,8284.473,.,.,.,.,.
Afghanistan,AFG,1952,8425.333,.,.,.,.,.
Afghanistan,AFG,1953,8573.217,.,.,.,.,.
Afghanistan,AFG,1954,8728.408,.,.,.,.,.
Afghanistan,AFG,1955,8891.209,0.0168,.,.,.,.
Afghanistan,AFG,1956,9061.938,0.02,.,.,.,.
Afghanistan,AFG,1957,9240.934,0.02,.,.,.,.
Afghanistan,AFG,1958,9428.556,0.02,.,.,.,.
Afghanistan,AFG,1959,9624.606,0.02,.,.,.,.
Afghanistan,AFG,1960,9829.45,0.02,.,.,.,.
Afghanistan,AFG,1961,10043.473,0.02,.,.,.,.
Afghanistan,AFG,1962,10267.083,0.02,.,.,.,.
Afghanistan,AFG,1963,10500.711,0.03517833,.,.,.,.
Afghanistan,AFG,1964,10744.167,0.045,.,.,.,.
Afghanistan,AFG,1965,10997.885,0.045,.,.,.,.
Afghanistan,AFG,1966,11262.324,0.045,.,.,.,.
Afghanistan,AFG,1967,11537.966,0.045,.,.,.,.
Afghanistan,AFG,1968,11825.32,0.045,.,.,.,.
Afghanistan,AFG,1969,12122.74,0.045,.,.,.,.
Afghanistan,AFG,1970,12430.623,0.044998427,7.607478213,21.72810954,863.4773069,12.21213548
Afghanistan,AFG,1971,12749.385,0.044998427,8.413947598,27.06313883,883.4850286,17.71338791
Afghanistan,AFG,1972,13079.46,0.044998427,9.108075327,32.86908064,752.8936663,19.06799323
Afghanistan,AFG,1973,13421.301,0.044998427,8.721831165,27.69230775,795.4900637,19.84560201
Afghanistan,AFG,1974,13772.076,0.044998427,8.195074912,28.86597946,815.9626603,26.20565322
Afghanistan,AFG,1975,14132.019,0.044998427,10.94598003,26.94835597,856.7714321,27.38906085
Afghanistan,AFG,1976,14501.369,0.044998427,10.71980517,28.08695607,884.177612,32.5812612
Afghanistan,AFG,1977,14880.372,0.044998427,11.15376683,26.48608001,817.2827228,35.331526
Afghanistan,AFG,1978,15269.281,0.044998427,11.56693775,24.71380464,858.024439,36.06024818
Afghanistan,AFG,1979,15555.612,0.043730753,11.0583202,26.42894712,819.0782304,26.71034727
Afghanistan,AFG,1980,15112.149,0.044129167,11.1643049,25.87627701,811.8229864,26.15132768
Afghanistan,AFG,1981,13812.973,0.049479902,11.05499418,25.67300929,907.8328899,25.93083406
Afghanistan,AFG,1982,12881.816,0.050599608,10.88124662,25.99274442,992.8395033,26.26410269
Afghanistan,AFG,1983,12934.937,0.050599608,10.81184771,25.84734425,1037.431071,26.11539481
Afghanistan,AFG,1984,13387.737,0.050599606,10.76851679,25.83769959,1020.805982,26.1034218
Afghanistan,AFG,1985,13796.928,0.050599605,10.79318994,25.89259582,993.0918648,26.16096914
Afghanistan,AFG,1986,13856.1,0.050599605,10.76310248,25.85921303,1018.463805,26.12659467
Afghanistan,AFG,1987,13867.957,0.050599605,10.82329403,25.86316982,913.1492654,26.1303277
Afghanistan,AFG,1988,14076.478,0.050599605,10.81850081,25.87165915,825.1808188,26.13929688
Afghanistan,AFG,1989,14511.868,0.050599605,10.94755313,25.86468107,743.9279966,26.13207342
Afghanistan,AFG,1990,14669.339,0.050599605,10.89401836,25.86650298,712.9637517,26.13389934
Afghanistan,AFG,1991,14871.963,0.050599605,11.36467114,34.5237234,648.5395149,34.90157161
Afghanistan,AFG,1992,16317.921,0.050599605,11.77800051,43.18093971,614.6918634,43.67978205
Afghanistan,AFG,1993,18371.583,0.050599605,12.11347836,51.83815205,418.4923444,52.46854914
Afghanistan,AFG,1994,19900.668,0.425099934,12.77398061,60.49535975,306.4375764,61.26789196
Afghanistan,AFG,1995,20881.48,0.833333333,13.27513094,69.152564,446.7975534,70.0778315
Afghanistan,AFG,1996,21559.923,2.5000225,13.73463979,77.80976414,417.5748074,78.89838393
Afghanistan,AFG,1997,22227.415,3.00003,14.28033349,86.46696027,390.8766062,87.72957075
Afghanistan,AFG,1998,22912.814,3.000052503,14.62892748,95.12415241,365.9453814,96.57141075
Afghanistan,AFG,1999,23646.128,45.106375,15.02207754,103.7813406,342.2441132,105.4239222
Afghanistan,AFG,2000,23898.198,61.628875,15.68711341,112.4385247,326.854864,114.2871257
Afghanistan,AFG,2001,23997.412,65.68945833,16.1556595,112.3795007,314.5157582,113.9730895
Afghanistan,AFG,2002,25268.405,41.45943097,14.21914725,92.1567231,539.3675487,93.83476273
Afghanistan,AFG,2003,27060.359,48.76275359,16.93954545,132.7792633,576.7182266,135.0288597
Afghanistan,AFG,2004,28513.677,47.8453125,17.42856286,112.202429,603.4338233,113.0393051
Afghanistan,AFG,2005,29928.987,49.4945975,17.18668731,96.46660227,662.6885073,96.46660227
Afghanistan,AFG,2006,31056.997,49.92533083,18.84626353,95.37455074,695.8093667,93.99917152
Afghanistan,AFG,2007,31889.923,49.9621511,17.4233768,101.3479275,752.4723904,101.1043318
Albania,ALB,1950,1227.156,.,.,.,.,.
Albania,ALB,1951,1254.119,.,.,.,.,.
Albania,ALB,1952,1282.697,.,.,.,.,.
Albania,ALB,1953,1314.608,.,.,.,.,.
Albania,ALB,1954,1352.982,.,.,.,.,.
Albania,ALB,1955,1392.164,.,.,.,.,.
Albania,ALB,1956,1434.476,.,.,.,.,.
Albania,ALB,1957,1476.505,.,.,.,.,.
Albania,ALB,1958,1521.417,.,.,.,.,.
Albania,ALB,1959,1571.329,.,.,.,.,.
Albania,ALB,1960,1623.114,.,.,.,.,.
Albania,ALB,1961,1676.635,.,.,.,.,.
Albania,ALB,1962,1728.137,.,.,.,.,.
Albania,ALB,1963,1779.715,.,.,.,.,.
Albania,ALB,1964,1832.284,.,.,.,.,.
Albania,ALB,1965,1883.652,.,.,.,.,.
Albania,ALB,1966,1932.963,.,.,.,.,.
Albania,ALB,1967,1984.06,.,.,.,.,.
Albania,ALB,1968,2038.698,.,.,.,.,.
Albania,ALB,1969,2100.263,.,.,.,.,.
Albania,ALB,1970,2156.612,5,12.39796076,44.74127823,2494.697344,43.04841391
Albania,ALB,1971,2208.719,5,12.54877864,44.74150649,2533.375639,43.05078124
Albania,ALB,1972,2263.554,5,12.80218671,44.75728912,2571.264787,43.05801525
Albania,ALB,1973,2295.691,5,12.99465884,44.72503908,2636.799282,43.03644424
Albania,ALB,1974,2347.924,5,12.93617934,44.74219127,2681.086442,43.0578826
Albania,ALB,1975,2401.108,5,12.9347166,44.80463703,2727.86837,43.07971644
Albania,ALB,1976,2454.824,5,12.77275722,44.62828894,2774.338928,42.97170896
Albania,ALB,1977,2509.048,5,12.94092339,44.79364782,2821.388418,43.12216055
Albania,ALB,1978,2563.376,5,12.88465553,44.99197432,2878.430647,43.14522613
Albania,ALB,1979,2617.679,6.167123288,12.53804522,44.09924469,2925.568003,42.64720474
Albania,ALB,1980,2671.412,7,12.96138314,45.28972444,2974.06041,43.57201082
